W9999	W9998	W9997	W9996	W9995	W9994	W9993	W9992	W9991	W9630	W9400	W9304	W9303	W9302	W9300	W9200	W9001	W9000	W880	W868	W8500	W8361	W8351	W8324	W8318	W8300	W8200	W8113	W770	W720	W712	W701	W70	W6713	W6600	W6500	W647	W646	W643	W642	W6413	W641	W6400	W640	W64	W633	W632	W631	W6300	W630	W63	W628	W627	W626	W625	W624	W623	W622	W621	W6200	W620	W62	W617	W616	W6135	W6125	W6123	W6121	W6120	W6119	W6117	W6115	W6113	W6111	W6110	W6100	W610	W61	W603	W6000	W600	W60	W598	W59	W520	W52	W512	W51	W509	W505	W504	W502	W501	W500	W50	W4700	W4536	W4522	W4521	W4514	W4512	W4511	W4400	W4348	W4342	W4340	W4331	W4330	W4322	W4321	W4320	W4318	W4317	W4312	W4310	W4304	W43	W4220	W4212	W4211	W4210	W4200	W42	W410	W41	W4000	W400	W40	W3700	W361	W350	W341	W340	W3200	W320	W314	W313	W3100	W310	W31	W308	W307	W306	W304	W303	W302	W301	W300	W30	W2990	W2980	W2938	W2800	W2560	W2550	W2528	W2527	W2526	W2524	W2523	W2521	W2513	W2511	W241	W240	W23	W221	W220	W211	W2100	W204	W202	W201	W1930	W1827	W1823	W1810	W17	W169	W164	W1600	W160	W16	W1511	W1510	W143	W14	W123	W1224	W122	W1200	W12	W118	W114	W112	W110	W11	W10	TWwolffish	TWwelk	TWunknownivert	TWunknownfish	TWstarfish	TWsquid	TWsnakeblenny	TWskate	TWseasnail	TWseapen	TWsea urchins	TWsculpin	TWhake	TWgunnel	TWellpout	TWcrab	TWcod	TWclam	TWalligatorfish	TRAWLNUMshort	TRAWLNUM	TPwolffish	TPwelk	TPunknowninvert	TPunknownfish	TPstarfish	TPsquid	TPsnakeblenny	TPskate	TPseasnail	TPseapen	TPsea urchins	TPsculpin	TPhake	TPgunnel	TPellpout	TPcrab	TPcod	TPcockle	TPclam	TPalligatorish	timestamp	Temp_weight	Temp_count	TCwolffish	TCwelk	TCunknowninvert	TCunknownfish	TCstarfish	TCsquid	TCsnakeblenny	TCskate	TCseasnail	TCseapen	TCsea urchins	TCsculpin	TChake	TCgunnel	TCellpout	TCcrab	TCcod	TCcockle	TCclam	TCalligatorfish	SpeciesInfoLong	SpeciesInfo	P9999	P9998	P9997	P9996	P9995	P9994	P9993	P9992	P9991	P9630	P9400	P9304	P9303	P9302	P9300	P9200	P9001	P9000	P880	P868	P8500	P8361	P8351	P8324	P8318	P8300	P8200	P8113	P770	P720	P712	P701	P70	P6713	P6600	P6500	P647	P646	P643	P642	P6413	P641	P6400	P640	P64	P633	P632	P631	P6300	P630	P63	P628	P627	P626	P625	P624	P623	P622	P621	P6200	P620	P62	P617	P616	P6135	P6125	P6123	P6121	P6120	P6119	P6117	P6115	P6113	P6111	P6110	P6100	P610	P61	P603	P6000	P600	P60	P598	P59	P520	P52	P512	P51	P509	P505	P504	P502	P501	P500	P50	P4700	P4536	P4522	P4521	P4514	P4512	P4511	P4400	P4348	P4342	P4340	P4331	P4330	P4322	P4321	P4320	P4318	P4317	P4312	P4310	P4304	P43	P4220	P4212	P4211	P4210	P4200	P42	P410	P41	P4000	P400	P40	P3700	P361	P350	P341	P340	P3200	P320	P314	P313	P3100	P310	P31	P308	P307	P306	P304	P303	P302	P301	P300	P30	P2990	P2980	P2938	P2800	P2560	P2550	P2528	P2527	P2526	P2524	P2523	P2521	P2513	P2511	P241	P240	P23	P221	P220	P211	P2100	P204	P202	P201	P1930	P1827	P1823	P1810	P17	P169	P164	P1600	P160	P16	P1511	P1510	P143	P14	P123	P1224	P122	P1200	P12	P118	P114	P112	P110	P11	P10	Measure fish message for main menu	Measure fish message	Measure fish flag for main menu	Measure fish flag	Location	GPnum_wt_year	GPnum	g_filterText	Date_tow_num	DATE	dataentrybox weight	dataentrybox Townum	dataentrybox GPnum	dataentrybox count	dataentrybox comment	dataentrybox code	COMMENT	Code_entry	code_calc	class_data	C9999	C9998	C9997	C9996	C9995	C9994	C9993	C9992	C9991	C9630	C9400	C9303	C9302	C9304	C9300	C9200	C9001	C9000	C880	C868	C8500	C8361	C8351	C8324	C8318	C8300	C8200	C8113	C770	C720	C712	C701	C70	C6713	C6600	C6500	C647	C646	C643	C642	C6413	C641	C6400	C640	C64	C633	C632	C631	C6300	C630	C63	C628	C627	C626	C625	C624	C623	C622	C621	C6200	C620	C62	C617	C616	C6135	C6125	C6123	C6121	C6120	C6119	C6117	C6115	C6113	C6111	C6110	C6100	C610	C61	C603	C6000	C600	C60	C598	C59	C520	C52	C512	C51	C509	C505	C504	C502	C501	C500	C50	C4700	C4536	C4522	C4521	C4514	C4512	C4511	C4400	C4348	C4342	C4340	C4331	C4330	C4322	C4321	C4320	C4318	C4317	C4312	C4310	C4304	C43	C4220	C4212	C4211	C4210	C4200	C42	C410	C41	C4000	C400	C40	C3700	C361	C350	C341	C340	C3200	C320	C314	C313	C3100	C310	C31	C308	C307	C306	C304	C303	C302	C301	C300	C30	C2990	C2980	C2938	C2800	C2560	C2550	C2528	C2527	C2526	C2524	C2523	C2521	C2513	C2511	C241	C240	C23	C221	C220	C211	C2100	C204	C202	C201	C1930	C1827	C1823	C1810	C17	C169	C164	C1600	C160	C16	C1511	C1510	C143	C14	C123	C1224	C122	C1200	C12	C118	C114	C112	C110	C11	C10	_W303	_P303	_C303	__pk_sample_id	C8364	W8364	P8364	P8365	W8365	C8365	C8600	P8600	W8600	W8602	P8602	C8602	C8608	P8608	W8608	W8609	P8609	C8609	C8610	P8610	W8610	W8611	P8611	C8611	C8612	P8612	W8612	W8613	P8613	C8613	C8614	P8614	W8614	W8616	P8616	C8616	C8617	P8617	W8617	W8618	P8618	C8618	C8619	P8619	W8619	W8620	P8620	C8620	C8621	P8621	W8621	W8623	P8623	C8623	C8625	P8625	W8625	W8626	P8626	C8626	C8627	P8627	W8627	W8628	P8628	C8628	C8629	P8629	W8629	W8630	P8630	C8630	C8631	P8631	W8631	W8632	P8632	C8632	C8633	P8633	W8633	W8634	P8634	C8634	C8635	P8635	W8635	W8636	P8636	C8636	C8637	P8637	W8637	W8638	P8638	C8638	W8639	C8639	P8639	W8640	P8640	C8640	C8641	P8641	W8641	W8642	P8642	C8642	C8643	P8643	W8643	W8644	P8644	C8644	C8645	P8645	W8645	W8646	P8646	C8646	C8647	P8647	W8647	W8648	P8648	C8648	C8649	P8649	W8649	W8650	P8650	C8650	C8651	P8651	W8651	TCsponge	TWsponge	TPsponge	TCsponge2	TWsponge2	TPsponge2	W205	C205	P205	P6114	W6114	C6114	C8347	W8347	P8347	P8346	W8346	C8346	C8348	W8348	P8348	P6101	W6101	C6101	C6131	W6131	P6131	P6129	W6129	C6129	P619	C619	W619	W2893	P2893	C2893
																				2.23					0.04									52.42								1.28											0.09													1.24	6.76					0.42																																																		0.14					0.81																0.02		0.64	0.42										2.05				0.6															4.85																						2.82					8.42		0.09				1.28	1.08				2.65	2.82			GP246	11					1		1				1	1				1	1				9/13/2019 17:16							19		4				26	10				22	22																										1					1									1								1											1													1	1					1																																																		1					1																1		1	1										1				1															1																						1		Measure Fish	0	1		G19_GP246F	GP246F			9/13/2019						Code																									3					1									114								26											4													7	11					1																																																		1					18																1		6	3										13				9															46																						22				02458B50-CCA2-49DF-AA19-8515250C07A3																																																																																																																																																																											
																				1.86														7.02								5.13						0.76					0.03							1.63						1.82	0.81																			0.14																																				2.03					1.14					0.01											0.02		1.77	2.32										9.79				1.58															0.69																						2.28					3.39		0.03		0.14		5.13	4.11			1.63	11.37	2.28		0.01	GP244	12					1		1		1		1	1			1	1	1			1	9/13/2019 18:31							17		2		2		128	39			4	100	7			1																							1														1								1						1					1							1						1	1																			1																																				1					1					1											1		1	1										1				1															1																						1			0	0		G19_GP244F	GP244F			9/13/2019						Code																									1														20								128						3					2							4						12	2																			2																																				31					23					1											1		18	20										87				13															7																						7				330944EA-1722-43AC-9686-E45BA3A26B96																																																																																																																																																																											
																																		8.9								0.97	0.05										0.01													0.47						0.38																																																		0.26					0.46					0.01		0.07									0.02		1.44	1.45										6.9				0.68									0.73						17.3																						2.77					0.85		0.01				0.97	2.91				7.58	2.77		0.01	GP255	1					1		1				1	1				1	1			1	9/14/2019 6:22							5		1				38	28				61	48			3																																					1								1	1										1													1						1																																																		1					1					1		1									1		1	1										1				1									1						1																						1			0	0		G19_GP255F	GP255F			9/14/2019						Code																																							22								38	1										1													3						2																																																		6					6					3		2									2		19	7										51				10									40						118																						48				D3F53765-7C10-4E6F-9E33-0B9D8D9A2C6F																																																																																																																																																																											
																		0.01					0.1		0.03									0.35								5.52				0.01		1.37																		1.19						0.21														1.74					0.04																															0.04					10.06					0.01				0.09							0.21		5.54	0.65										1.85				2.14															1.13																						0.51					2.77		0.01		1.74		5.52	6.5				3.99	0.51		0.01	GP252	2					1		1		1		1	1				1	1			1	9/14/2019 7:16							17		1		16		148	83				28	5			1																					1					1		1									1								1				1		1																		1						1														1					1																															1					1					1				1							1		1	1										1				1															1																						1			0	0		G19_GP252F	GP252F			9/14/2019						Code																							1					1		1									1								148				1		5																		11						1														16					1																															1					212					1				5							8		64	5										8				20															10																						5				5B271CAE-86E0-464F-8893-AB40E21E011A																																																																																																																																																																											
																																										1.07						3.24												0.42						1.06			0.03			0.14									0.21					0.49																																				0.08					19.44			0.04													0.11		0.93	0.19														0.05					0.03										5.53									0.16													4.72					4.47				0.49		1.07	1.23			0.42	0.05	4.72		0.04	GP263	3					1				1		1	1			1	1	1			1	9/14/2019 9:03							33				6		15	13			1	2	127			1																																													1						1												1						1			1			1									1					1																																				1					1			1													1		1	1														1					1										1									1													1			0	0		G19_GP263F	GP263F			9/14/2019						Code																																															15						17												1						14			1			1									1					6																																				1					334			1													4		8	1														2					1										63									1													127				8A738EE6-45EE-409A-87EE-7D815875AAB8																																																													1	1	0.07																																																																									1	0.07	1																																	
																							0.47											0.26								3.13		0.11		0.01		8.23																		3.27															0.11					1.28					0.01																															0.08					11.82			0.02						0.11							0.04		1.29	0.31										1.69				2.75																								0.01													1.56					11.5		0.01		1.28		3.13	1.75				4.44	1.56		0.02	GP275	4					1		1		1		1	1				1	1			1	9/14/2019 10:36							64		2		16		108	24				35	2			1																										1											1								1		1		1		1																		1															1					1					1																															1					1			1						1							1		1	1										1				1																								1													1			0	0		G19_GP275F	GP275F			9/14/2019						Code																												8											1								108		21		2		36																		28															1					16					1																															2					212			1						5							2		15	2										11				24																								1													2				2067E620-15CC-4CCE-B27C-1AC75430C751																																																																																																																																																																											
																																		4.19								1.31						0.96																		2.24						1.83														0.59					0.01																															0.81					4.32					0.03		0.03									0.03		1.39	0.63										3.93				4.62									0.09						2.42																						0.61					5.03				0.59		1.31	2.05				8.55	0.61		0.03	GP279	5					1				1		1	1				1	1			1	9/14/2019 11:39							20				3		32	20				72	3			8																																					1								1						1																		1						1														1					1																															1					1					1		1									1		1	1										1				1									1						1																						1			0	0		G19_GP279F	GP279F			9/14/2019						Code																																							16								32						6																		11						3														3					1																															17					85					8		2									2		15	3										29				43									17						24																						3				D747EDCE-5360-4DB0-B82C-0A66B87DF82C																																																																																																																																																																											
																																		0.93																																						0.56				0.08																																												0.49		3.03					2.02					0.01													0.22		0.09						0.23			6.74				1																								0.04													3.6		0.49			0.56							0.31				7.97	3.6		0.01	GP285	6		1			1							1				1	1			1	9/14/2019 12:29				5			1							4				95	92			1																																					1																																						1				1																																												1		1					1					1													1		1						1			1				1																								1													1			0	0		G19_GP285F	GP285F			9/14/2019						Code																																							3																																						1				5																																												5		69					25					1													2		2						2			73				20																								1													92				B8AA561D-768C-40C0-8608-1FCDA4069059																																																																																																																																																																											
																																										0.27																								0.09																																															0.12							0.01							1.57			0.03																														0.08																								0.06													4.59		0.01			0.09						0.27					0.08	4.59	0.12	0.03	GP330	1		1			1						1					1	1		1	1	9/19/2019 5:42				1			2						4					3	55		3	3																																													1																								1																																															1							1							1			1																														1																								1													1		Measure Fish	0	1		G19_GP330F	GP330F			9/19/2019						Code																																															4																								2																																															3							1							41			3																														3																								2													55				1BD46BF3-B5CC-4979-8435-0FF52DD9E3F8																																																																																																																																																																											
																																																																																																																																																																																																																									GP336	2																					9/19/2019 9:07																																																																																																																																																																																																																																Measure Fish	0	1		G19_GP336F	GP336F			9/19/2019					Comment		Bad tow																																																																																																																																																																																																													4DC47C48-D62E-4184-B2A3-2BA3DDB027F8																																																																																																																																																																											
																																										0.14																								0.22					2.91																																																	0.07				4.38			8.49					0.01							0.18														0.04																			1.34														0.25					4.93						0.13		0.07			3.13			1.34			0.14		5.18			0.04	0.13		0.01	GP336	3		1			1			1			1		1			1	1			1	9/19/2019 10:47				5			193			2			3		25			2	4			1																																													1																								1					1																																																	1				1			1					1							1														1																			1														1					1						1		Measure Fish	0	1		G19_GP336A1	GP336A1			9/19/2019					Comment																																																3																								1					192																																																	5				9			91					1							1														2																			2														1					24						4				084D5B07-7BAD-456D-9A3D-8C0BDB9996B4																																																																																																																																																																											
																									0.08																																									0.18					0.11																																																	0.29				2.76			18.1												0.21														0.02																0.01			2.19																			0.57						0.46		0.29			0.29			2.19					0.57			0.02	0.46			GP327	4		1			1			1					1			1	1				9/19/2019 12:23				11			18			7					2			2	13																															1																																									1					1																																																	1				1			1												1														1																1			1																			1						1		Measure Fish	0	1		G19_GP327F	GP327F			9/19/2019					Comment		243 total plaices																													1																																									1					17																																																	11				11			100												1														2																2			7																			2						13				9F9D8867-5E23-415E-9A7E-AAA64FA634CC																																																																																																																																																																											
																									0.04																	0.12																								0.18																										0.09																												0.22				3.2			7.05																										0.11																0.01			3.82																			3.96						0.98		0.22			0.18			3.82			0.12		3.96			0.11	0.98			GP332	5		1			1			1			1		1			1	1				9/19/2019 13:06				6			1			8			1		19			2	13																															1																	1																								1																										1																												1				1			1																										1																1			1																			1						1		Measure Fish	0	1		G19_GP332F	GP332F			9/19/2019						Code																														1																	1																								1																										1																												6				13			62																										2																2			8																			19						13				11EA98E6-09EF-4381-901E-AFECF830DBDD																																																																																																																																																																											
																																										0.52																								0.56					0.02																																																	0.03				3.43			15.73																										0.02																0.04			2.62			0.01																						1.52		0.03			0.58			2.62			0.52					0.02	1.52			GP322	6		1			1			1			1					1	1				9/19/2019 14:14				2			7			3			9					3	39																																																1																								1					1																																																	1				1			1																										1																1			1			1																						1		Measure Fish	0	1		G19_GP322F	GP322F			9/19/2019			GPnum				184 total plaices																																														9																								4					3																																																	2				12			100																										3																3			3			1																						39				6D5D4842-2F46-43D0-B204-318743780455																																																																																																																																																																											
																									0.12																	0.79						45.4					0.81							0.33																					0.21					0.27																																				0.08					0.95			0.01		0.01											0.12		0.03								0.05							0.19					0.01										2.51																						3.69					45.4		0.81		0.27		0.79	0.15			0.33	0.24	3.69		0.02	GP319	1					1		1		1		1	1			1	1	1			1	9/20/2019 5:27							161		23		2		23	7			2	5	21			3																												1																	1						1					1							1																					1					1																																				1					1			1		1											1		1								1							1					1										1																						1		Measure Fish	0	1		G19_GP319F	GP319F			9/20/2019					Comment																															6																	23						161					23							2																					1					2																																				1					14			1		2											5		2								1							4					1										28																						21				AEB8833C-8482-4AAB-AA19-8DB4EE9BA24C																																																																			1	1	0.49																																																																			1	0.49	1																																	
																																			2.12							0.11		0.01				7.36								0.01										2.98	0.32				0.12																																	0.05																0.08				0.53			11.93			0.02		0.01													0.02								0.01							0.03									0.02																												0.08		0.08			10.78		0.01				0.11	0.02				0.04	0.08	0.05	0.03	GP304	2		1			1		1				1	1				1	1	1	1	1	9/20/2019 8:04				2			46		1				1	1				2	3	1	1	2																																						1							1		1				1								1										1	1				1																																	1																1				1			1			1		1													1								1							1									1																												1		Measure Fish	0	1		G19_GP304F	GP304F			9/20/2019					Comment		286 total plaices																																							104							1		1				29								1										9	2				6																																	1																2				1			100			1		1													1								1							1									6																												3				07ED5336-9CB9-4248-9A23-2CD832CCF517																																																																																																																																																																											
																				1.53																						2.12																		0.46							0.08				0.22																																																	0.06							10.16												0.81																					0.04												0.72																									19.04		0.06			0.3			0.72			2.12				0.46	0.04	19.04			GP318	3		1			1			1			1				1	1	1				9/20/2019 9:19				1			16			2			28				3	3	100																										1																						1																		1							1				1																																																	1							1												1																					1												1																									1		Measure Fish	0	1		G19_GP318F	GP318F			9/20/2019					Comment		"106 total plaices
193 total cod"																								1																						28																		3							1				15																																																	1							100												2																					3												2																									100				F8E42F12-99AC-4EE4-90D9-4DC1DA3D23E9																																																																																																																																																																											
																																										0.37						5.02																		0.72	0.09																			0.15																																				0.36		0.48			14.42																0.02										0.02							0.21									0.04			0.36			0.26																						0.32					5.83			0.36	0.15		0.37	0.02				0.23	0.32			GP309	4					1			1	1		1	1				1	1				9/20/2019 11:00							31			1	1		4	1				4	11																																																1						1																		1	1																			1																																				1		1			1																1										1							1									1			1			1																						1		Measure Fish	0	1		G19_GP309F	GP309F			9/20/2019						Code																																															4						23																		7	1																			1																																				3		1			100																1										1							3									9			1			2																						11				150516A1-BFD9-4181-B2AF-84F5CC3425A9																																																																																																																																																																											
																																			0.19							0.32		0.01				0.98																		1.12	0.43																																					0.04																							12.17			0.07													0.02																	0.18												0.28																									0.65					2.53			0.28			0.32	0.02				0.18	0.65	0.04	0.07	GP302	5					1			1			1	1				1	1	1	1	1	9/20/2019 12:08							16			1			5	1				1	18	1	1	3																																						1							1		1				1																		1	1																																					1																							1			1													1																	1												1																									1		Measure Fish	0	1		G19_GP302F	GP302F			9/20/2019					Comment		266 total plaices																																							8							5		1				8																		7	1																																					1																							100			3													1																	1												1																									18				2C307B9F-6EF6-4188-93CA-74796E7DAD3D																																																																																																																																																																											
																																			0.28							5.49																								5.74	4.11					0.76														0.15					0.04																													0.15							8.56			0.04													0.04		0.13								0.12			0.49				0.01									0.28																												0.99		0.15			10.61				0.15		5.49	0.17				0.62	0.99		0.04	GP288	6		1			1				1		1	1				1	1			1	9/20/2019 13:50				3			50				2		86	3				5	41			3																																						1							1																								1	1					1														1					1																													1							1			1													1		1								1			1				1									1																												1		Measure Fish	0	1		G19_GP288F	GP288F			9/20/2019					Comment		186 total plaices																																							14							86																								33	15					2														2					2																													3							100			3													2		1								2			2				1									42																												41				5A10BE3A-A3D8-4013-BB84-FA10B3748A1B																																																																																																																																																																											
																																		2.1								1		0.01									0.09							0.52						0.86						0.37																																0.11																		0.13					7.79			0.02						0.01									0.1											0.49				0.29									0.28						4.4																						0.83					1.23		0.09				1	0.11			0.52	0.78	0.83	0.11	0.02	GP291	7					1		1				1	1			1	1	1	1	1	1	9/20/2019 15:30							6		4				20	2			3	5	7	2	2	1																																					1								1		1									1							1						1						1																																1																		1					1			1						1									1											1				1									1						1																						1		Measure Fish	0	1		G19_GP291F	GP291F			9/20/2019						Code	108 total plaices																																						6								20		1									4							3						5						1																																2																		1					100			1						1									1											2				3									76						29																						7				C933CE87-ED7E-457D-AE44-4EB2F8F72391																																		0.11	1	1																																																																																																				1	0.11	1																																	
																																		8.4								1.31																								1.56	3.78					2.55																																0.19																		0.82					12.89					0.01													0.64	0.85										0.71				2.71															1.97									0.31													0.96					7.89						1.31	1.49				3.42	0.96	0.19	0.01	GP296	8					1						1	1				1	1	1	1	1	9/20/2019 16:29							23						39	8				37	28	3	3	2																																					1								1																								1	1					1																																1																		1					1					1													1	1										1				1															1									1													1		Measure Fish	0	1		G19_GP296F	GP296F			9/20/2019						Code																																							21								39																								10	8					5																																3																		17					100					2													7	1										3				34															14									1													28				3132DD1A-EC6E-4613-8CBB-4C08A17C8689																																																																																																																																																																											
																																		2.38								0.71		0.01																						3.64	4.04																																																							1.78					11.24																0.08													1.34				4.04															0.48									0.02													0.57					7.68						0.71	0.08				5.38	0.57			GP297	9					1						1	1				1	1				9/20/2019 17:34							18						10	5				36	16																																								1								1		1																						1	1																																																							1					1																1													1				1															1									1													1		Measure Fish	0	1		G19_GP297F	GP297F			9/20/2019					Comment		154 total plaices																																						8								10		1																						17	1																																																							33					100																5													10				26															6									1													16				740A9F80-CF23-406B-A8E9-C687F2C734E1																																																																																																																																																																											
																																			0.02							3.2																								1.41	0.54		0.01			0.66																																																		3.05		0.6			20.88																				0.32																									1.68																									1.9					2.62			1.68			3.2	0.32					1.9			GP307	10					1			1			1	1					1				9/20/2019 18:22							9			4			56	1					71																																									1							1																								1	1		1			1																																																		1		1			1																				1																									1																									1		Measure Fish	0	1		G19_GP307F	GP307F			9/20/2019						Code	321 total plaices																																							1							56																								6	1		1			1																																																		44		2			100																				1																									4																									71				9062FCB7-164B-48EE-BE38-1C5800990D91																																																																																																																																																																											
																																										2.39						8.36												0.11	0.09					0.53	1.39				0.07	0.6																																																0.26							7.36			0.02		0.01							0.08				0.02																	0.06									0.22																												3.83		0.26			10.95						2.39	0.02			0.11	0.06	3.83		0.03	GP305	1		1			1						1	1			1	1	1			1	9/21/2019 7:40				7			51						31	1			3	2	57			6																																													1						1												1	1					1	1				1	1																																																1							1			1		1							1				1																	1									1																												1		Measure Fish	0	1		G19_GP305F	GP305F			9/21/2019					Comment		107total plaices																																														31						31												3	1					3	10				6	1																																																7							100			1		5							1				1																	2									64																												57				5C6CD9A9-1458-4997-91A0-CB69493A18A8																																																																																																																																																																											
																									0.05										0.03													0.21																		0.05					0.09																																																	0.08							1.85			0.07									0.1																					0.02									0.11						0.08																								0.08			0.35											0.02			0.07	GP306	1		1			1											1				1	9/22/2019 6:19				1			17											1				3																												1										1													1																		1					1																																																	1							1			1									1																					1									1						1																								Measure Fish	0	1		G19_GP306F	GP306F			9/22/2019						Code																														1										2													8																		1					8																																																	1							15			3									1																					1									11						1																										CD3546E1-7A75-41EF-A715-F26FCBDB6C8E																																																																																																																																																																											
																																			1.72									0.02															3.62							7.57	2.22																			0.27																		0.1																0.04							20.21			0.03																										0.22													0.07						0.77									0.02													0.45		0.04			13.41				0.27							0.22	0.45	0.1	0.03	GP299	2		1			1				1							1	1	1	1	1	9/22/2019 7:31				2			37				2							3	8	2	2	2																																						1									1															1							1	1																			1																		1																1							1			1																										1													1						1									1													1		Measure Fish	0	1		G19_GP299F	GP299F			9/22/2019					Comment		317 total plaices																																							73									3															1							28	8																			2																		2																2							100			2																										3													8						6									1													8				ECF1BF38-7F46-4416-9078-BE133E89D8BF																																																																																																																																																																											
																							0.03												2.25							0.11		0.02																						1.34																				0.27					0.01																													0.02							16.31																		0.08																								0.03						0.14																						0.09		0.02			1.34				0.27		0.11	0.08					0.09			GP283	3		1			1				1		1	1					1				9/22/2019 8:53				1			9				2		2	1					3																													1												1							1		1																						1																				1					1																													1							1																		1																								1						1																						1		Measure Fish	0	1		G19_GP283F	GP283F			9/22/2019					Comment		282 total plaices																											3												86							2		6																						9																				2					1																													1							100																		1																								9						3																						3				1FD9CB86-4244-4177-8D26-56C09127FE1A																																		0.1	1	1																																																																																																				1	0.1	1																																	
																		0.01					1.52		0.13																	3.15						2.06																		3.33			0.02			0.24														0.15																																				0.08					4.95					0.09				0.02							0.06		0.12											1.12				2.33									0.22						6.26																						4.32					5.65				0.15		3.15	0.21				3.45	4.32		0.09	GP274	4					1				1		1	1				1	1			1	9/22/2019 11:00							39				1		56	6				44	100			28																					1					1		1																	1						1																		1			1			1														1																																				1					1					1				1							1		1											1				1									1						1																						1		Measure Fish	0	1		G19_GP274F	GP274F			9/22/2019					Comment		"156 total cod
142 total plaices"																						1					8		2																	56						8																		28			1			2														1																																				1					100					28				2							2		1											8				36									45						52																						100				3378B0BF-CB27-43E5-B3E5-723791D6A76D																																																																																																																																																																											
																							0.19												0.87							0.13																								2.47																				0.08																																		0.19							7.64					0.02				0.04																	0.01							0.03									0.07						1.51									0.05													0.04		0.19			2.47				0.08		0.13	0.04				0.04	0.04		0.02	GP286	5		1			1				1		1	1				1	1			1	9/22/2019 12:41				3			10				1		1	3				5	1			4																										1												1							1																								1																				1																																		1							1					1				1																	1							1									1						1									1													1		Measure Fish	0	1		G19_GP286F	GP286F			9/22/2019					Comment		157 total plaices																											10												36							1																								10																				1																																		3							100					4				3																	1							4									12						21									1													1				0350F1C5-C1C3-4EBA-8BB2-2DCDE0B0D5AC																																																																																																																																																																											
																				0.24																																														0.36					0.34															0.09																																									4.49																																																																											0.7				0.09											GP292	6					1				1												9/22/2019 13:50							55				1																																		1																																														1					1															1																																									1																																																																								Measure Fish	0	1		G19_GP292F	GP292F			9/22/2019						Code																									1																																														1					54															1																																									78																																																																										34A6DC08-333A-4B6F-B642-22A5DD3344EB																																																																																																																																																																											
																									0.12									0.29								1.26		0.01				1.84					0.06							0.49												0.13														1.08					0.17																																				1.48					0.04				0.08							0.07		0.89															0.03									18.72						14.53									0.01													2.21					1.97		0.06		1.08		1.26	1.04			0.49	0.03	2.21		0.04	GP298	7					1		1		1		1	1			1	1	1			1	9/22/2019 14:59							9		2		10		27	16			1	4	61			9																												1									1								1		1				1					1							1												1														1					1																																				1					1				1							1		1															1									1						1									1													1		Measure Fish	0	1		G19_GP298F	GP298F			9/22/2019						Code																														2									1								27		1				8					2							1												1														10					8																																				25					9				5							5		6															4									1						83									1													61				3994D1E7-E6A8-4BF6-B494-1068E9CE025E																																		0.16	1	1																																																																																																				1	0.16	1																																	
																																																									0.02														0.08																																																								1.38																																																																											0.08		0.02													GP289	8					1		1														9/22/2019 15:52							11		1																																																																									1														1																																																								1																																																																								Measure Fish	0	1		G19_GP289F	GP289F			9/22/2019						Code																																																														1														11																																																								19																																																																										52C7AD5E-2CC6-49F7-9976-8554562CFE82																																																																																																																																																																											
																																		0.3														0.16									0.22									1.07					0.5																																																	0.02							4.97																																																																								0.02			1.73		0.22													GP280	9		1			1		1														9/22/2019 16:55				1			28		11																																																		1														1									1									1					1																																																	1							1																																																																								Measure Fish	0	1		G19_GP280F	GP280F			9/22/2019			GPnum																																										1														1									11									5					22																																																	1							73																																																																										F0B9710A-7CEC-4334-B9EC-787E4246A1E7																																																																																																																																																																											
																																1.62			18.94							3																			0.9					0.58	0.36				0.04	0.12									2.48																							0.1												0.46				0.5		21.62					4.46						0.16										0.02			0.86	3.56									0.17																																									7.25		0.5			1.1						3	4.44				0.17	7.25	0.1		GP272	1		1			1						1	1				1	1	1	1		9/24/2019 5:47				8			9						68	23				2	100	1	1																																				1			1							1																			1					1	1				1	1									1																							1												1				1		1					1						1										1			1	1									1																																									1		Measure Fish	0	1		G19_GP272F	GP272F			9/24/2019					Comment		"309 cod total cod
503 yellowtail total"																																				11			1							68																			7					4	1				3	1									25																							1												3				8		100					54						1										1			1	21									2																																									100				97AABCE4-A84B-4771-BD71-8ACFC3A58374																																																																																																																																																																											
																																			6.28							4.98																								3.41	3.84					0.32																																					0.82						1.16	6.88				0.55		3.51					0.81							0.52												0.73	2.14						0.12								0.6																																				0.77		0.55			7.57						4.98	2.87				0.72	0.77			GP267	2		1			1						1	1				1	1				9/24/2019 8:05				6			39						29	18				6	35																																									1							1																								1	1					1																																					1						1	1				1		1					1							1												1	1						1								1																																				1		Measure Fish	0	1		G19_GP267F	GP267F			9/24/2019						Code																																								347							29																								22	14					3																																					3						6	77				6		61					57							4												1	17						2								4																																				35				866DC4BC-720E-48F1-BBED-B94305ABD42A																																																																																																																																																																											
																																																											20.62							0.18	0.36																																																	20.14				0.2		7.12					7.22																										0.18								0.14								0.01																												0.53		0.2			21.16											0.32	0.53			GP256	3		1			1											1	1				9/24/2019 8:56				2			3											3	16																																																																	1							1	1																																																	1				1		1					1																										1								1								1																												1		Measure Fish	0	1		G19_GP256F	GP256F			9/24/2019					Comment		124 total yellotails																																																															1							1	1																																																	133				2		100					62																										2								1								3																												16				17625E43-50FF-4878-A6D1-938F25CF5165																																																																																																																																																																											
